Items,Precio,Proveedor,Rubro,Sub Rubro,Categoria,Sub Categoria,Cantidad,UM,Clase,Marca,IGV,Id,Campo1,,"""Egresos"""
AJUSTE,,,Administracion,Ajuste,Descuento,,,,,,,384,,,
Alquiler VISA LINK NIUBIZ,,NIUBIZ,Administracion,Financieras,M.Pagos,,,,,,,529,,,
Bols gra vea,0.15,,Administracion,Impuestos,Plasticos,Bolsa,,,,,,9,,,
Bolsa membretada (impuesto),0.2,,Administracion,Impuestos,Plasticos,Bolsa,,,,,,13,,,
Bolsa p/desp COMPOST,0.1,,Administracion,Impuestos,Plasticos,Bolsa,,,,,,14,,,
BrushPen x 1 und,4.1,,Administracion,Utiles,Lapiceros,,1,UND,,,,730,,,
Chinches push pins OVE x 50und,1.2,,Administracion,Utiles,Consumibles,,50,UND,,,,54,,,
Cinta adhesiva PEGAFAN 3/4 x 25yardas,5.3,,Administracion,Utiles,Cinta Adhesiva,,,,,,,59,,,
Clips #1 ARTESCO,1,,Administracion,Utiles,Consumibles,,,,,,,63,,,
Comisiones NIUBIZ,,NIUBIZ,Administracion,Financieras,Comisiones,,,,,,,528,,,
Descuento - Utiles de Oficina,,,Administracion,Descuento,,,,,,,,89,,,
DEUDA TARJETA UNICA,,,Administracion,Financieras,UNICA,,,,,,,90,,,
Engrapador metal FABER CASTELL mini,8.8,,Administracion,Utiles,Utiles,,,,,,,93,,,
Estilografo Uniball x 1 und,7.5,,Administracion,Utiles,Lapiceros,,1,UND,,,,729,,,
Etiqueta 1 x 3 F-1 PB Blanco x 100und.,1.9,,Administracion,Utiles,Etiquetas,Blancas,100,UND,,,,114,,,
Gasto Utiles de Oficina,,,Administracion,Utiles,Varios,,,,,,,135,,,
Gastos Varios (MA) - Financiero,,,Administracion,Financieras,,,,,,,,138,,,
Gastos Varios (MA) - RRHH,,,Administracion,RRHH,Varios,,,,,,,140,,,
Gastos no grabados - Ajuste,,,Administracion,RRHH,NG,Ajuste,,,,,,,,,
Impuesto a la RENTA,,,Administracion,Impuestos,SUNAT,Renta,,,,,,183,,,
Impuesto Bolsa Plastica,0.2,,Administracion,Impuestos,Plasticos,Bolsa,,,,,,184,,,
ITF,0.05,,Administracion,Impuestos,Financieros,ITF,,,,,,858,,,
Nestle Sublime Power,1.4,,Administracion,RRHH,Chocolates,,1,UND,,,,695,,,
Papas fritas en hojuelas Granel x 1 kg.,20,,Administracion,RRHH,Snacks,Papas,1,KG,,,,257,,,
Chifles Piuranos x kg.,20,,Administracion,RRHH,Snacks,Chifles,1,KG,,,,,,,
Papel de regalo diversos,0.6,0,Administracion,Utiles,Papeleria,Regalo,,,,,,259,,,
Papel Fotocopia KEROCOPY A4 x 75gr,10.79,,Administracion,Utiles,Papeleria,Bond,,,,KEROCOPY,,260,,,
Papel LEDESMA x 500 gr,8.89,,Administracion,Utiles,Papeleria,Bond,,,,,,515,,,
Papel Bond ARO A4 x 500h,12.4,MAKRO SUPERMAYORISTA S.A.,Administracion,Utiles,Papeleria,Bond,500,und,,ARO,,,,,
Papel lustre 50x65 LILA,0.5055,,Administracion,Utiles,Papeleria,Lustre,,,,,,261,,,
Papel XEROX A4 x 75 gr x 500 und,10.9,,Administracion,Utiles,Papeleria,Bond,,,,XEROX,,265,,,
Percepcion,2.61,,Administracion,Impuestos,SUNAT,Percepcion,,,,,,555,,,
Pincel Winsor & Newton #000 x 1 und,15.5,,Administracion,Utiles,Lapiceros,,1,UND,,,,731,,,
Ron FLOR DE CAÑA 5 Años x 1 und,50,,Administracion,RRHH,Licores,,,,,,,333,,,
Seguro Desgravamen - BCP (VISA Clasica),4,,Administracion,Financieras,Seguros,Desgravamen,,,,,,694,,,
Seguro Desgravamen - IBK (VISA ORO),6,,Administracion,Financieras,Seguros,Desgravamen,,,,,,693,,,
Servicio de DISEÑO,10,,Administracion,Servicios,,,,,,,,340,,,
Servicio de impresión COLOR,3,,Administracion,Servicios,,,,,,,,341,,,
Set Estilografos x 5und - Uniball,32.5,,Administracion,Utiles,Lapiceros,,5,UND,,,,728,,,
Silicona en barra GRUESA,1.5,,Administracion,Utiles,Consumibles,,,,,,,345,,,
Acetato,10,,CIF,Decoracion,Acetato,,,,,,,379,,,
Acetato (100 x 50cm) x 1 Und,6,,CIF,Decoracion,Acetato,100 x 50 cm,1,UND,1,MONICA,,380,,,
Ajicero DARNEL Negro x 2 oz x 100 und,6.09,,CIF,Envases,Envases,2 oz,100,UND,,,,383,,,
Alambre para flores #20 (0176-5),12,ROCOPLAST S.A.C,CIF,Decoracion,Alambres,#20,100,UND,,,,748,,,
Alambre para flores #22 (0176-4),12,,CIF,Decoracion,Alambres,#22,100,UND,Ciento,,,425,,,
Alambre para flores #30 (---),14,ROCOPLAST S.A.C,CIF,Decoracion,Alambres,#30,,,,,,838,,,
Alisador para tortas,10,,CIF,Utensilios,Decoracion,Alisador,1,UND,,,,572,,,
Aluminio redondo #9,2,,CIF,Envases,Termoformado,#9,1,UND,,,,389,,,
Rollo cinta metalica x 91.4mt,6,,CIF,Decoracion,Alambres,,91.4,Mts,,,,678,,,
Balanza Electrica x 5kg,34,,CIF,Utensilios,Horneado,Balanza,1,UND,,,,675,,,
Base Blanca #30 x 3 mm  [1/2 docena],19.2,VALECY,CIF,Tecnopor,Base,# 30,0.5,DZ,DOCENA,,,,,,
Base Redonda #30,1.4,ROCOPLAST S.A.C,CIF,Tecnopor,Base,# 30,1,UND,UNITARIO,MONICA,,476,,,
Base Redonda #30.50,2.2,,CIF,Tecnopor,Base,# 30.5,,,,,,373,,,
Base Tecnopor #15 x 1 und [Delgada],1.3,VALECY,CIF,Tecnopor,Piso,#15,1,UND,UNITARIO,,,,,,
Base Tecnopor #25 x 1 und,1,,CIF,Tecnopor,Base,#25,1,UND,UNITARIO,,,424,,,
Base Tecnopor #25 x 1 und [Delgada],2,VALECY,CIF,Tecnopor,Piso,#25,1,UND,UNITARIO,,,,,,
Base Tecnopor #25 x 12 und,11.6,MONICA,CIF,Tecnopor,Piso,#25,12,UND,DOCENA,MONICA,,582,,,
Base Tecnopor #30 x 1 und [Delgada],2.3,VALECY,CIF,Tecnopor,Piso,#30,1,UND,UNITARIO,,,,,,
Base Tecnopor #35 x 12 und,22,,CIF,Tecnopor,Base,#35,12,UND,DOCENA,,,4,,,
Base tecnopor delgada #25 x 1 und,2,,CIF,Tecnopor,Base,#25,1,UND,UNITARIO,,,623,,,
