Fecha;Week;AÑO;Metod Pag;Emision;Proveedor;DOC;# Document;TIPO;Comprobante;Trade;Rubro;Sub Rubro;ITEM;Cantidad;Stock;UM;Precio;Valor Venta;Sub Total;IGV;Total;Precio x UM;Comprobantes;Categoria;Serie;Numero
1/01/2021;1;2021;BCP MA;1/01/2021;Rappi;0;0;EG;NE101-1;MA;Movilidad;Delivery;Rappi Favor;1;1;UND;16.64;16.64;16.64;0;16.64;16.64;;;;
2/01/2021;1;2021;BCP MA;2/01/2021;SUPERMERCADOS PERUANOS S.A.;RUC;20100070970;FA;A28-1082996;MA;CIF;Utensilios;Espatula de Silicona;1;1;UND;7.9;6.6949;6.6949;1.2051;7.9;7.9;;;;
2/01/2021;1;2021;BCP MA;2/01/2021;SUPERMERCADOS PERUANOS S.A.;RUC;20100070970;FA;A28-1082996;MA;Insumos;Huevos;Huevos pardos LA CALERA x 30 und;1;30;UND;13.5;11.4407;11.4407;2.0593;13.5;0.45;;;;
2/01/2021;1;2021;BCP MA;2/01/2021;SUPERMERCADOS PERUANOS S.A.;RUC;20100070970;FA;A28-1082996;MA;Insumos;Frutas;Manzana Verde IMPORTADA x kg.;0.96;0.96;KG;7.69;7.69;7.3824;0;7.3824;7.69;;;;
3/01/2021;1;2021;BCP MA;3/01/2021;ABA SINGER & CIA. S.A.C.;RUC;2010003281;BV;B051-54528;MA;Movilidad;Combustible;GASOHOL 95 PLUS 1;9.156;9.156;GL;11.59;9.822;89.9305;16.1875;106.118; S/ 11.59 ;;;;
3/01/2021;1;2021;BCP MA;1/01/2021;Rappi;0;0;EG;NE101-2;MA;Movilidad;Delivery;Rappi Favor;1;1;UND;9.5;9.5;9.5;0;9.5;9.5;;;;
4/01/2021;1;2021;CASH;4/01/2021;Pastindustria Servicios E.I.R.L.;RUC;20552622091;FA;1-981;MA;CIF;Mantenimiento;Mantenimiento - Pastindustria;1;0;0;118;100;100;18;118; S/ -   ;;;;
8/01/2021;2;2021;CASH;8/01/2021;MAKRO SUPERMAYORISTA S.A.;RUC;20492092313;FA;T04-1615768;MA;Administracion;AJUSTE;AJUSTE;1;0;0;-0.09;-0.0763;-0.0763;-0.0137;-0.09;0;;;;
8/01/2021;2;2021;CASH;8/01/2021;MAKRO SUPERMAYORISTA S.A.;RUC;20492092313;FA;T04-1615768;MA;CIF;Envio;"Stretchfilm ARO trn 18"" 20 mic 1.5K";1;1;UND;20.6;17.4576;17.4576;3.1424;20.6;20.6;;;;
8/01/2021;2;2021;CASH;8/01/2021;MAKRO SUPERMAYORISTA S.A.;RUC;20492092313;FA;T04-1615768;MA;CIF;Uniforme;Guantes vinilo M&K (M) x 100 und;1;100;UND;34.9;29.5763;29.5763;5.3237;34.9;0.349;;;;
